# range:[-5, +5]
3.032038464693015190e+00,4.109059893858966195e-01
-2.173036185540888177e+00,-1.925761538601029388e+00
6.956359526088329304e-01,1.045755449335985077e+00
3.305445753165757505e+00,1.438415055175619739e-01
-8.197791381873198446e-01,-1.475626428787970290e-01
-2.071923721082144620e+00,-2.113869176968293129e+00
2.839062422287228049e+00,9.198444501000607731e-01
-2.126483194040146518e+00,2.475071746873740874e+00
3.285951831117525312e+00,-2.006083239584148178e-02
-1.384888995642328036e+00,-2.425762388170695782e+00
2.923805791493119810e-01,5.536100304056611465e-01
3.296760803907569315e+00,4.892325885819661102e-01
-1.202405503497194772e+00,-1.276853368170051795e+00
-2.046528537413113913e+00,-2.464668555914515835e+00
-1.473870531977759801e-01,3.779459423456913436e-01
2.850660936984025007e+00,1.378496779062956812e-01
2.485840381536227106e+00,2.214339725200556441e-01
3.328822927417225852e+00,4.690901950896956829e-01
3.108997170553020162e+00,7.740324675685572586e-02
3.058567257267437167e+00,1.577595458467438705e-01
1.290891420369558173e-01,-1.086336791770438515e+00
-1.562319082973191664e+00,1.473508795848261999e+00
2.721075217567499038e+00,6.266387975613116890e-01
-1.161758907534261143e+00,-2.554705153597903955e+00
3.149594379065755678e+00,2.718620610114310110e-01
-1.389377509395075760e+00,2.251837304940815243e-01
-7.885208238480299059e-01,-2.552813819683206642e+00
3.623301895527647254e+00,9.985502821653273464e-02
3.394643726203226741e+00,8.788912342744413797e-01
-9.895507234500546812e-01,-1.111255760212790156e+00
6.421766243769818638e-01,-6.488894565849646634e-01
2.982248613743031740e+00,2.298483593242444112e-01
3.035336163212316585e+00,2.141971842796461800e-01
-3.984118515386700921e-01,1.215186669706670441e+00
2.867026089248996712e+00,3.983189447093942737e-01
2.837163840769584944e+00,6.744041350843817950e-01
-2.334911250868627164e+00,-3.255407728215657936e+00
7.099017335489757885e-01,4.599772222632851348e-01
5.791174360096098539e-01,1.147590377123881566e+00
3.292380726320643713e+00,5.993233456298888706e-01
3.475536976263457145e+00,4.750671189439957809e-01
9.633764978218863906e-01,-1.199981517114658391e+00
2.993626359008910942e+00,1.910067352260568230e-01
-2.236548815479616259e+00,-2.564107097102160449e+00
-2.119904703437855975e+00,-1.298749897236347373e+00
-2.468956092591315876e+00,-3.141680842986227074e+00
-2.371271739627321296e+00,-2.979691955793340785e+00
-2.375084227789329372e+00,-2.980859523134291145e+00
2.742309881124058712e+00,2.845208788759426843e-01
3.144544133262964003e+00,9.967430761471751666e-02
-1.682335738898072419e+00,-2.346877538083925074e+00
-6.725939246563580887e-02,-7.300774144346681149e-01
2.869884785063778310e+00,3.047530071362969939e-01
1.135081150839378772e+00,1.918127384445156736e+00
